TIPO,QUESTÃO,PERFIL,COMPETÊNCIA,OBJETO DE CONHECIMENTO
dfg1,QUESTÃO DISCURSIVA 1,Colaborativo e propositivo no trabalho em equipes e/ou redes que integrem diferentes áreas d conhecimento,Buscar e propor soluções viáveis e inovadoras na resolução de situações-problema,"Educação e desenvolvimento humano e social; Ciência, tecnologia e inovação; Promoção da saúde e prevenção de doenças."
dfg2,QUESTÃO DISCURSIVA 2,"Ético, comprometido e responsável com questões sociais, culturais e ambientais",Planejar e elaborar projetos de ação e intervenção a partir da análise de necessidades em contextos diversos,"Ética, democracia e cidadania; Relações de desigualdade, de opressão e/ou de exploração étnico-raciais, de classe, de gênero e de orientação sexual."
ofg1,QUESTÃO 1,Comprometido com o exercício da cidadania,"Fomentar diálogo e práticas de convivência, compartilhando saberes e conhecimentos","Ética, democracia e cidadania."
ofg2,QUESTÃO 2,"Proativo, solidário e empático na tomada de decisões, atuando com responsabilidade socioambiental e respeito às diferenças","Identificar, analisar e interpretar diferentes representações verbais, não verbais, gráficas e numéricas de fenômenos diversos ou de um mesmo significado","Ética, democracia e cidadania; Relações de desigualdade, de opressão e/ou de exploração étnico-raciais, de classe, de gênero e de orientação sexual."
ofg3,QUESTÃO 3,"Humanista, crítica e sensível, apoiado em conhecimentos científico, social e cultural, historicamente construídos, que transcendam a área de sua formação","Ler, produzir e interpretar textos com clareza e coerência","Relações de desigualdade, de opressão e/ou de exploração étnico- raciais, de classe, de gênero e de orientação sexual; Estado, sociedade e trabalho."
ofg4,QUESTÃO 4,"Ético, comprometido e responsável com questões sociais, culturais e ambientais",Sistematizar e analisar informações para tomada de decisões,"Meio ambiente: biodiversidade, sustentabilidade e intervenção humana; Territórios, sociodiversidade e multiculturalismo."
ofg5,QUESTÃO 5,Comprometido com o exercício da cidadania,Formular e articular argumentos e contra-argumentos consistentes em situações sociocomunicativas,"Acessibilidade e inclusão social; Relação entre
campo e cidade, desenvolvimento urbano e rural e qualidade de vida."
ofg6,QUESTÃO 6,"Humanista, crítica e sensível, apoiado em conhecimentos científico, social e cultural, historicamente construídos, que transcendam a área de sua formação","Identificar, compreender e analisar situações-problema
utilizando pensamento holístico e sistêmico ao se abordar a complexidade da realidade","Processos de globalização e política internacional; Territórios, sociodiversidade e multiculturalismo."
ofg7,QUESTÃO 7,Comprometido com o exercício da cidadania,"Identificar, analisar e interpretar diferentes representações verbais, não verbais, gráficas e numéricas de fenômenos diversos ou de um mesmo significado","Ética, democracia e cidadania; Relações de
desigualdade, de opressão e/ou de exploração étnico-raciais, de classe, de gênero e de orientação sexual."
ofg8,QUESTÃO 8,"Humanista, crítica e sensível, apoiado em conhecimentos científico, social e cultural, historicamente construídos, que transcendam a área de sua formação","Identificar, compreender e analisar situações-problema utilizando pensamento holístico e sistêmico ao se abordar a complexidade da realidade","Processos de globalização e política internacional; Territórios, sociodiversidade e multiculturalismo."
dce1,QUESTÃO DISCURSIVA 3,"Crítico e reflexivo acerca do fenômeno organizacional em suas dimensões histórica, social, econômica, ambiental, política e cultural",Lidar com mudanças e situações de risco,Psicologia e Comportamento Organizacional; Gestão de Pessoas.
dce2,QUESTÃO DISCURSIVA 4,"Proativo, flexível, criativo e inovador frente aos desafios organizacionais",Reconhecer e delimitar problemas e identificar oportunidades,"Operações, Logística e Gestão da Qualidade; Sistemas de
Informação e Tecnologias da Informação e Comunicação; Gestão da Inovação, Gestão do
Conhecimento e Empreendedorismo."
dce3,QUESTÃO DISCURSIVA 5,"Comprometido com a gestão ética pautada na consciência das demandas sociais, na diversidade e na sustentabilidade","Promover uma gestão para a sustentabilidade, inclusão e diversidade","Sustentabilidade e Responsabilidade Social Corporativa; Psicologia e Comportamento Organizacional; Antropologia, Sociologia, Ciência Política, Filosofia e Ética."
oce1,QUESTÃO 9,"Colaborativo e propositivo na liderança, integrando os interesses das diferentes áreas e promovendo o desenvolvimento de pessoas e equipes",Coordenar e integrar as diferentes áreas funcionais da organização,Finanças.
oce2,QUESTÃO 10,"Ético e responsável na tomada de decisões e na solução de problemas no âmbito das organizações, com atuação pautada no conhecimento científico e metodológico",Coordenar e integrar as diferentes áreas funcionais da organização,Teorias da Administração e das Organizações; Sistemas de Informação e Tecnologias da Informação e Comunicação.
oce3,QUESTÃO 11,"Ético e responsável na tomada de decisões e na solução de problemas no âmbito das organizações, com atuação pautada no conhecimento científico e metodológico",Coordenar e integrar as diferentes áreas funcionais da organização,"Teorias da Administração e das Organizações; Antropologia, Sociologia, Ciência Política, Filosofia e Ética."
oce4,QUESTÃO 12,"Ético e responsável na tomada de decisões e na solução de problemas no âmbito das organizações, com atuação pautada no conhecimento científico e metodológico",Coordenar e integrar as diferentes áreas funcionais da organização,"Antropologia, Sociologia, Ciência Política, Filosofia e Ética; Sustentabilidade Social Corporativa."
oce5,QUESTÃO 13,"Colaborativo e propositivo na liderança, integrando os interesses das diferentes áreas e promovendo o desenvolvimento de pessoas e equipes","Planejar e implementar, com efetividade, ações alinhadas às estratégias da organização",Teorias da Administração e das Organizações.
oce6,QUESTÃO 14,"Comprometido com a gestão ética pautada na consciência das demandas sociais, na diversidade e na sustentabilidade","Identificar e alocar recursos, pessoas e funções",Gestão de Pessoas.
oce7,QUESTÃO 15,"Analítico na compreensão da inter-relação entre os contextos regional, nacional e global, de forma sistêmica",Lidar com mudanças e situações de risco,Métodos quantitativos aplicados à Administração.
oce8,QUESTÃO 16,"Atuação proativa, flexível, criativa e inovadora frente aos desafios organizacionais",Promover a comunicação no ambiente organizacional interno e externo,Planejamento e Gestão Estratégica.
oce9,QUESTÃO 17,"Analítico na compreensão da inter-relação entre os contextos regional, nacional e global, de forma sistêmica",Reconhecer e delimitar problemas e identificar oportunidades,"Ciências jurídicas, econômicas e contábeis."
oce10,QUESTÃO 18,"Ético e responsável na tomada de decisões e na solução de problemas no âmbito das organizações, com atuação pautada no conhecimento científico e metodológico","Identificar e alocar recursos, pessoas e funções",Sustentabilidade e responsabilidade social corporativa.
oce11,QUESTÃO 19,"Proativo, flexível, criativo e inovador frente aos desafios organizacionais",Reconhecer e delimitar problemas e identificar oportunidades,Mercado e Marketing; Planejamento e Gestão Estratégica.
oce12,QUESTÃO 20,"Ético e responsável na tomada de decisões e na solução de problemas no âmbito das organizações, com atuação pautada no conhecimento científico e metodológico","Propor e implementar, com efetividade, ações alinhadas às estratégias da organização","Operações, Logística e Gestão da Qualidade; Sustentabilidade."
oce13,QUESTÃO 21,"Ético e responsável na tomada de decisões e na solução de problemas no âmbito das organizações, com atuação pautada no conhecimento científico e metodológico",Reconhecer e delimitar problemas e identificar oportunidades,Gestão de Projetos e Gestão de Processos e Serviços.
oce14,QUESTÃO 22,"Analítico na compreensão da inter-relação entre os contextos regional, nacional e global, de forma sistêmica","Planejar e implementar, com efetividade, ações alinhadas às estratégias da organização",Planejamento e gestão estratégica.
oce15,QUESTÃO 23,"Comprometido com a gestão ética pautada na consciência das demandas sociais, na diversidade e na sustentabilidade",Promover a comunicação no ambiente organizacional interno e externo,Sustentabilidade e Responsabilidade Social Corporativa.
oce16,QUESTÃO 24,"Ético e responsável na tomada de decisões e na solução de problemas no âmbito das organizações, com atuação pautada no conhecimento científico e metodológico","Identificar e alocar recursos, pessoas e funções",Métodos Quantitativos aplicados à Administração.
oce17,QUESTÃO 25,"Ético e responsável na tomada de decisões e na solução de problemas no âmbito das organizações, com atuação pautada no conhecimento científico e metodológico",Promover a comunicação no ambiente organizacional interno e externo,"Ciências Jurídicas, Econômicas e Contábeis."
